Feature,Perturbation,Logistic_Flip_Rate,Logistic_CI_Lower,Logistic_CI_Upper,RF_Flip_Rate,RF_CI_Lower,RF_CI_Upper,XGB_Flip_Rate,XGB_CI_Lower,XGB_CI_Upper
campaign,-2,0.0030963175937188986,0.002058436553811757,0.004471955253482359,0.006856131814663276,0.005260479334518073,0.008780747659266043,0.004423310848169855,0.0031619021475804195,0.006018472820732112
campaign,-1,0.0018799071104721884,0.0010954846013158362,0.003008212675931993,0.005307973017803826,0.0039161968395878995,0.007031511685976028,0.0036492314497401303,0.0025132541834466155,0.00512109505092762
campaign,1,0.0028751520513104058,0.0018789780638894342,0.004209945734630198,0.01006303217958642,0.008109645705337787,0.012340989916097111,0.006856131814663276,0.005260479334518073,0.008780747659266043
campaign,2,0.005418555789008073,0.00401128642388173,0.007157363144644828,0.011500608205241623,0.009406229222208304,0.013917917119898184,0.00851487338272697,0.0067254802814002475,0.010630796183082021
campaign,5,0.012164104832467102,0.010007732054078977,0.014642692998471232,0.0214530576136238,0.01856645176050351,0.024653386875713768,0.029525599911533782,0.026133696494541503,0.03322489093863449
balance,-5,0.00011058277120424638,2.7997094485259588e-06,0.0006159720487420168,0.0009952449408382174,0.000455187148000297,0.0018884404218633614,0.0027645692801061593,0.0017898579463055096,0.004078362732276848
balance,-2,0.0,0.0,0.00040784332196673823,0.0003317483136127391,6.841970370327226e-05,0.0009692002373519356,0.0014375760256552029,0.0007656637263533441,0.002457044173237519
balance,-1,0.0,0.0,0.00040784332196673823,0.00022116554240849277,2.6785295560529805e-05,0.0007986952227793841,0.00044233108481698554,0.00012053306420929074,0.0011321524609998552
balance,1,0.0,0.0,0.00040784332196673823,0.0006634966272254782,0.00024352924964555453,0.001443589196446509,0.0008846621696339711,0.0003820092472291169,0.001742388989983705
balance,2,0.00011058277120424638,2.7997094485259588e-06,0.0006159720487420168,0.0009952449408382174,0.000455187148000297,0.0018884404218633614,0.0009952449408382174,0.000455187148000297,0.0018884404218633614
balance,5,0.00011058277120424638,2.7997094485259588e-06,0.0006159720487420168,0.0011058277120424638,0.0005304107062590221,0.002032713143613847,0.002322238195289174,0.0014380589486737909,0.003547608693998344
age,-5,0.0003317483136127391,6.841970370327226e-05,0.0009692002373519356,0.010173614950790668,0.008209028465570168,0.012462641197858037,0.01404401194293929,0.011720945268947444,0.016687381547103763
age,-2,0.00011058277120424638,2.7997094485259588e-06,0.0006159720487420168,0.006082052416233551,0.004585024272490492,0.007909359221530144,0.008183125069114233,0.00643081886615358,0.01026241473225414
age,-1,0.00011058277120424638,2.7997094485259588e-06,0.0006159720487420168,0.003870396992148623,0.002697309395537409,0.005378713159442275,0.005418555789008073,0.00401128642388173,0.007157363144644828
age,1,0.0,0.0,0.00040784332196673823,0.004533893619374101,0.0032555062103800706,0.006145763542428606,0.004644476390578348,0.003349319153845337,0.006272852371098422
age,2,0.0,0.0,0.00040784332196673823,0.005860886873825058,0.00439319790118786,0.007659258882147777,0.007740793984297246,0.00603915592285771,0.009770043764030394
age,5,0.0,0.0,0.00040784332196673823,0.009841866637177928,0.007911071807667681,0.01209749871172955,0.010837111578016145,0.008806603536639155,0.01319128966062626
previous,1,0.00044233108481698554,0.00012053306420929074,0.0011321524609998552,0.006524383501050536,0.004970264551505881,0.008408012059177213,0.0027645692801061593,0.0017898579463055096,0.004078362732276848
previous,2,0.0011058277120424638,0.0005304107062590221,0.002032713143613847,0.00851487338272697,0.0067254802814002475,0.010630796183082021,0.007630211213093,0.005941470089982513,0.009646725660993288
previous,5,0.002101072652880681,0.0012654422282902457,0.003279149158689395,0.01006303217958642,0.008109645705337787,0.012340989916097111,0.011611190976445869,0.009506353654818495,0.01403883746113149
