Feature,Perturbation,Logistic_McNemar_p,RF_McNemar_p,XGB_McNemar_p
campaign,-2,7.450580596923828e-09,0.09795444051950736,4.2277022657799534e-05
campaign,-1,1.52587890625e-05,0.19341265286193737,0.0013187271542847157
campaign,1,2.9802322387695312e-08,0.020584209038374254,0.030015864349067285
campaign,2,3.552713678800501e-15,9.701730804528465e-07,8.215921903007378e-05
campaign,5,1.5407439555097887e-33,6.548570011180005e-38,8.805385688270384e-62
balance,-5,1.0,1.0,0.42435622215270996
balance,-2,1.0,1.0,0.5810546875
balance,-1,1.0,0.5,0.625
balance,1,1.0,0.21875,0.7265625
balance,2,1.0,1.0,1.0
balance,5,1.0,0.34375,1.0
age,-5,0.25,0.34814129031920615,0.15540010008390495
age,-2,1.0,0.1770013647703581,0.9075606176124984
age,-1,1.0,0.016673847800120715,0.2528697301676033
age,1,1.0,1.0,0.08842954698775429
age,2,1.0,1.0,1.0
age,5,1.0,0.08932073673118937,0.08541058911280444
previous,1,0.125,5.1256292496887346e-06,0.0009105205535888672
previous,2,0.001953125,0.0012632268710478355,0.8099490529189248
previous,5,3.814697265625e-06,0.00610552107452477,0.018740915408258067
