Feature,Perturbation,Logistic_Changed,Logistic_Flip_Rate,Logistic_Stability,RF_Changed,RF_Flip_Rate,RF_Stability,XGB_Changed,XGB_Flip_Rate,XGB_Stability,Logistic_0_to_1,Logistic_1_to_0,RF_0_to_1,RF_1_to_0,XGB_0_to_1,XGB_1_to_0
campaign,-2,28,0.0030963175937188986,0.9969036824062811,62,0.006856131814663276,0.9931438681853367,40,0.004423310848169855,0.9955766891518302,28,0,38,24,33,7
campaign,-1,17,0.0018799071104721884,0.9981200928895279,48,0.005307973017803826,0.9946920269821962,33,0.0036492314497401303,0.9963507685502598,17,0,29,19,26,7
campaign,1,26,0.0028751520513104058,0.9971248479486896,91,0.01006303217958642,0.9899369678204136,62,0.006856131814663276,0.9931438681853367,0,26,34,57,22,40
campaign,2,49,0.005418555789008073,0.9945814442109919,104,0.011500608205241623,0.9884993917947584,77,0.00851487338272697,0.9914851266172731,0,49,27,77,21,56
campaign,5,110,0.012164104832467102,0.9878358951675329,194,0.0214530576136238,0.9785469423863762,267,0.029525599911533782,0.9704744000884662,0,110,14,180,11,256
balance,-5,1,0.00011058277120424638,0.9998894172287958,9,0.0009952449408382174,0.9990047550591618,25,0.0027645692801061593,0.9972354307198938,0,1,5,4,15,10
balance,-2,0,0.0,1.0,3,0.0003317483136127391,0.9996682516863873,13,0.0014375760256552029,0.9985624239743448,0,0,1,2,8,5
balance,-1,0,0.0,1.0,2,0.00022116554240849277,0.9997788344575915,4,0.00044233108481698554,0.999557668915183,0,0,0,2,3,1
balance,1,0,0.0,1.0,6,0.0006634966272254782,0.9993365033727746,8,0.0008846621696339711,0.999115337830366,0,0,5,1,3,5
balance,2,1,0.00011058277120424638,0.9998894172287958,9,0.0009952449408382174,0.9990047550591618,9,0.0009952449408382174,0.9990047550591618,1,0,5,4,5,4
balance,5,1,0.00011058277120424638,0.9998894172287958,10,0.0011058277120424638,0.9988941722879575,21,0.002322238195289174,0.9976777618047108,1,0,7,3,11,10
age,-5,3,0.0003317483136127391,0.9996682516863873,92,0.010173614950790668,0.9898263850492093,127,0.01404401194293929,0.9859559880570608,0,3,51,41,72,55
age,-2,1,0.00011058277120424638,0.9998894172287958,55,0.006082052416233551,0.9939179475837665,74,0.008183125069114233,0.9918168749308858,0,1,33,22,38,36
age,-1,1,0.00011058277120424638,0.9998894172287958,35,0.003870396992148623,0.9961296030078514,49,0.005418555789008073,0.9945814442109919,0,1,25,10,29,20
age,1,0,0.0,1.0,41,0.004533893619374101,0.9954661063806259,42,0.004644476390578348,0.9953555236094217,0,0,21,20,15,27
age,2,0,0.0,1.0,53,0.005860886873825058,0.994139113126175,70,0.007740793984297246,0.9922592060157027,0,0,27,26,35,35
age,5,0,0.0,1.0,89,0.009841866637177928,0.9901581333628221,98,0.010837111578016145,0.9891628884219839,0,0,53,36,58,40
previous,1,4,0.00044233108481698554,0.999557668915183,59,0.006524383501050536,0.9934756164989494,25,0.0027645692801061593,0.9972354307198938,4,0,12,47,21,4
previous,2,10,0.0011058277120424638,0.9988941722879575,77,0.00851487338272697,0.9914851266172731,69,0.007630211213093,0.992369788786907,10,0,24,53,33,36
previous,5,19,0.002101072652880681,0.9978989273471193,91,0.01006303217958642,0.9899369678204136,105,0.011611190976445869,0.9883888090235541,19,0,32,59,40,65
